Window_Minutes,Trial_ID,Model,Target,Cell,RMSE,MAE,MedAE,RMSE_frac,MAE_frac,MedAE_frac,r,R2,m,c
1,13,Random Forest,RUL,8,1028.0823765055775,728.457627118644,342.0,0.26721083794638356,0.1893348017621145,0.08888986784140969,0.9446456634421071,0.8197196714411432,0.6998086926440525,1581.9055384711871
1,14,Random Forest,RUL,1,627.8619883944148,548.1176470588235,487.5,0.15690781040360235,0.13697905181918413,0.12183020948180816,0.9865709507975893,0.933236193822802,0.9593756654568952,-322.7370378061928
1,14,Random Forest,RUL,2,851.7117879288567,615.8484848484849,411.5,0.23228503307150639,0.16795867768595044,0.11222727272727273,0.9645595981627019,0.8575449110348521,1.1544169162715965,-876.2559657231272
1,14,Random Forest,RUL,3,344.4361560942753,255.046875,194.5,0.08924661534426566,0.06608502024291497,0.05039676113360324,0.9924942294587509,0.9807082943344572,0.921890549594343,343.50053515933314
1,14,Random Forest,RUL,4,2179.545266235039,2125.0810810810813,2008.0,0.7952975823540084,0.7754240631163709,0.7327021696252466,0.9895294960963057,-1.4738558174390035,1.294052312444366,1319.218797787602
1,14,Random Forest,RUL,5,1464.471460471861,1298.8536585365853,1405.0,0.5829449502849157,0.5170194174757281,0.5592718446601942,0.8922540483987296,-0.016976339484685354,0.9558926324816217,1394.1965574242176
1,14,Random Forest,RUL,6,1420.817651917374,1318.9,1378.5,0.5683270607669496,0.52756,0.5514,0.9395065889553201,0.020987972841901015,1.1092325412221145,1014.1186469447132
1,14,Random Forest,RUL,7,2166.298012593161,1931.6825396825398,2110.0,0.5443828272571565,0.48542481053051456,0.5302353410450737,0.9649005241023372,0.11371619281548029,0.5432572443321054,-45.914145302520765
1,14,Random Forest,RUL,8,1045.5371207985595,722.3225806451613,400.0,0.2599170067743011,0.17956696070569367,0.09943865276663993,0.9543256060542017,0.8227582994489643,0.6864785085928513,1710.6493541442414
1,15,Random Forest,RUL,1,623.4898679085454,541.3692307692307,497.0,0.1643424226036312,0.14269667477696674,0.13100162206001623,0.9866338895177398,0.93167421127425,0.9544477110125824,-312.5200851646587
1,15,Random Forest,RUL,2,828.1903553783486,565.7558479532164,378.0,0.21855023266928644,0.14929668209876545,0.09975,0.954252415448965,0.8665445761652142,1.0899956148388228,-552.6105755295732
1,15,Random Forest,RUL,3,302.52650996569895,232.0563725490196,182.0,0.07748324925675151,0.059434400502197116,0.046613935969868174,0.9928462537322289,0.983844619967556,0.9425687796845901,217.489544025606
1,15,Random Forest,RUL,4,2118.905000230072,2045.5,1822.5,0.8141805956695761,0.7859750240153698,0.7002881844380403,0.989144665558536,-1.0948426421399806,1.3225327263872808,1206.1085795771012
1,15,Random Forest,RUL,5,1491.4252519155232,1391.7435897435898,1543.0,0.5702508316147589,0.5321372549019608,0.5899705882352941,0.9248051328776586,-0.06479443877936397,0.9221887038295946,1585.9167233174696
1,15,Random Forest,RUL,6,1386.6628129277703,1275.8648648648648,1392.0,0.5440776678507688,0.5006044538706256,0.5461717921527041,0.9431727521634528,0.08167529060031808,1.1356583335659072,898.8761931009465
1,15,Random Forest,RUL,7,2098.976176408497,1868.731884057971,2087.0,0.5297342947044122,0.4716258229700073,0.5267117776152158,0.9678989135573913,0.19159736194882626,0.5598159259873048,-54.33585746274178
